Brand,Category,Product,Size,Cost,Likes,Perfume_size,No_of_reviews,Rating
"Estee-lauder
",Skincare,NightWear Plus Anti-Oxidant Night Detox Creme,SIZE 1.7 oz/ 50 mL•ITEM 1730472,$56.00 ,4307 loves,NA,33 reviews,4.4
"Estee-lauder
",Skincare,Advanced Night Repair Concentrated Recovery Eye Mask,ITEM 1890631,$46.00 ,4288 loves,SIZE: 4 pairs,3 reviews,3
"Estee-lauder
",Skincare,Idealist Pore Minimizing Skin Refinisher,ITEM 1468172,$86.00 ,6078 loves,SIZE: 1.7 oz/ 50 mL,56 reviews,4
"Estee-lauder
",Skincare,"Resilience Lift Firming/Sculpting Face and Neck Creme Broad Spectrum SPF 15, Dry Skin",SIZE 1.7 oz/ 50 mL•ITEM 1468032,$90.00 ,668 loves,NA,3 reviews,3
"Estee-lauder
",Skincare,Micro Essence Skin Activating Treatment Lotion Mini,ITEM 1730449,$59.00 ,953 loves,SIZE: 2.5 oz/ 74 mL,1 review,5
"Estee-lauder
",Skincare,Micro Essence Infusion Mask,SIZE 6 sheet masks•ITEM 1730431,$70.00 ,2582 loves,NA,14 reviews,4.6
"Estee-lauder
",Skincare,NightWear Plus 3-Minute Detox Mask,SIZE 2.5 oz/ 75 mL•ITEM 1730480,$47.00 ,4726 loves,NA,44 reviews,4.6
"Estee-lauder
",Skincare,Resilience Lift Firming/Sculpting Eye Creme,SIZE 0.5 oz/ 15 mL•ITEM 1467976,$65.00 ,1155 loves,NA,10 reviews,3.1
"Estee-lauder
",Skincare,Perfectly Clean Multi-Action Toning Lotion/Refiner,SIZE 6.7 oz/ 198 mL•ITEM 1521475,$26.00 ,2397 loves,NA,20 reviews,4.5
"Estee-lauder
",Skincare,Advanced Time Zone Age Reversing Line/Wrinkle Eye Creme,SIZE 0.5 oz/ 15 mL•ITEM 1475672,$62.00 ,787 loves,NA,6 reviews,3.5
"Estee-lauder
",Skincare,Advanced Time Zone Age Reversing Line/Wrinkle Hydrating Gel Oil-Free,SIZE 1.7 oz/ 50 mL•ITEM 1475656,$75.00 ,1440 loves,NA,11 reviews,4.5
"Estee-lauder
",Skincare,"DayWear Advanced Multi-Protection Anti-Oxidant Creme, Dry",SIZE 1.7 oz/ 50 mL•ITEM 1468156,$54.00 ,744 loves,NA,11 reviews,4.1
"Estee-lauder
",Skincare,Advanced Time Zone SPF 15- Normal/Combination Skin,SIZE 1.7 oz/ 50 mL•ITEM 1475631,$75.00 ,851 loves,NA,8 reviews,3.8
"Estee-lauder
",Skincare,DayWear UV Base Advanced Anti-Oxidant & UV Defense SPF 50,SIZE 1 oz/ 30 mL•ITEM 1520279,$43.00 ,1531 loves,NA,20 reviews,4.1
"Estee-lauder
",Skincare,DayWear Eye Cooling Anti-Oxidant Moisture GelCreme,SIZE 0.5 oz/ 15 mL•ITEM 2032068,$40.00 ,507 loves,NA,e,f
"Estee-lauder
",Skincare,Soft Clean Moisture Rich Foaming Cleanser,SIZE 4.2 oz•ITEM 1467877,$20.00 ,1914 loves,NA,22 reviews,4.3
"Estee-lauder
",Skincare,Set + Refresh Perfecting Makeup Mist,SIZE 3.9 oz/ 116 mL•ITEM 1970383,$36.00 ,2606 loves,NA,6 reviews,4.5
"Estee-lauder
",Skincare,Gentle Eye Makeup Remover,SIZE 3.4 oz/ 100 mL•ITEM 1474972,$20.00 ,1211 loves,NA,45 reviews,3.6
"Estee-lauder
",Skincare,Enlighten Even Skintone Correcting Crème,SIZE 1.7 oz/ 50 mL•ITEM 1658327,$58.00 ,1379 loves,NA,16 reviews,3.8
"Estee-lauder
",Skincare,Perfectly Clean Triple-Action Cleanser/Toner/Makeup Remover,SIZE 5 oz/ 150 mL•ITEM 1520287,$28.00 ,1660 loves,NA,26 reviews,3.5
